test_id,geometry,reynolds,velocity,pressure_gradient,expected_regime,hash,simulation_time,entropy_time,total_time,velocity_stats,tree_nodes,tree_depth,navigation_path,path_length,velocity_field_shape,success
2742,channel,19574.338205844306,2.0,-0.15,turbulent,2946eeed0584e5cb214f76ae52602978cbd00fe5d99b4e8c260b36592806281f,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
1942,channel,1421.578947368421,2.0,-0.15,laminar,475236a0ee2a6a310dbb1e1f6a66f637dbbc9816db5cb4b92bf29215d3a3c2f5,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
13,pipe,10.0,1.5,-0.2,laminar,c9421e2df4237a51fc682fe9c26e6f354e5c8d7996c77e4c7ef66bc43b206fe4,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
2216,channel,2571.4285714285716,2.0,-0.1,turbulent,b3953a9540e7131c27e08ee808032c077ee1bba6316c8b7b266d80596409cccd,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2025,channel,1821.4285714285716,0.5,-0.05,transition,85b625d276ac535d52a14e20ee499ed00702f7737749e73ef6771fea6e404234,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1559,channel,245.26315789473682,1.0,-0.25,laminar,da8e7349536ba660c6ef509633d7bf1924564a842d8eba351d2681c1575dba2b,0.0009992122650146484,0.0,0.0009992122650146484,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1455,pipe,49999.99999999999,1.0,-0.05,turbulent,b1ae5dee4fa7cc741141ee8756ccfb6f60cba2d4a7b97965902b0ff1ff390487,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
243,pipe,715.7894736842105,2.0,-0.2,laminar,f5ecc51caa03e1b1b9f89ad1332b77879187895d889d8a84a9f4983143714d59,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1763,channel,872.6315789473684,1.5,-0.2,laminar,e5541717b9770e246aeeebd0939fc5cd7e6d11e24456fcbd36c29a80e732fe47,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1181,pipe,13770.69926991083,1.0,-0.1,turbulent,bde5eb7f4520e785058a4067dfa7579db1603d8f67d64b340a5e93e1dd80c119,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
3892,cavity,4264.3451480959675,2.0,-0.15,turbulent,a1587f1bfec2aa6373de9f33eb67b4f25a886289f4a7f475b06cd97f162d26e6,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2093,channel,2035.7142857142858,2.0,-0.2,transition,6e900765a277ae60bbbed82ac718b9728b271e39a85fff0a02d02fafe77cfc5f,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2309,channel,3000.0,1.0,-0.25,turbulent,7316f3debdedc0ceb6b5c8251ba2575d30fb135f40fac61c0282f6bd9a3e7b7b,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
4130,cavity,13770.69926991083,1.0,-0.05,turbulent,9260ebff148df5ff571554ab1184c7766707dc0fffb36cf7fc5e6b7edfe1447c,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
4320,cavity,31284.451574100145,2.5,-0.05,turbulent,447d3fb73af7fbb7829baaf5b2dc365b36a29f43357eb2fd55b2715a8fee7103,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
3192,cavity,715.7894736842105,2.0,-0.15,laminar,94fe8adacf3a8fe2e77d5802a007452972f164092d00307db2770ff55523f657,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
2524,channel,6815.438554189565,2.5,-0.25,turbulent,d9a0c9f7d395f05ec5f8d586c77eece115b88ef8c114c6f6ebe2c121253a25ea,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
350,pipe,1107.8947368421052,0.5,-0.05,laminar,4c1300a2c5eed27300fdf36b67831fe25c3dd14dbfae77ceb1833925a8914df6,0.0010144710540771484,0.0,0.0010144710540771484,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
4365,cavity,39550.25383869249,2.0,-0.05,turbulent,fae58635bc1532f12c1618f00cf24706976569caff0c63b1ed7cfd633547fa87,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
794,pipe,2785.714285714286,2.0,-0.25,turbulent,e82cf0920c569b09d388009cfeaaa27629462ff6dc91b103f4657df02bbc621a,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
462,pipe,1421.578947368421,1.5,-0.15,laminar,4a0a34912147d6807ee8761df3b032a6185e8af09e8419858876c7a109fbdd81,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3428,cavity,1500.0,0.5,-0.2,laminar,b9228a0ba328dbc80cbe82352d911dbe515bf02b3ea74f23f1836c19130b61cb,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
854,pipe,3000.0000000000014,0.5,-0.25,turbulent,3926635bd74b4f86cfa3568d460afe84952544d3f077a71c3700d6b1fbf579d2,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
11,pipe,10.0,1.5,-0.1,laminar,77a7c33f9d8a58b35593256690cbdcc47622c300b6d8c0b6af1151c5dcc5f7a7,0.0009937286376953125,0.0,0.0009937286376953125,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3328,cavity,1186.3157894736842,0.5,-0.2,laminar,d9d1ef10d779bcee7f98593a3d9fb6435520d59384d41293d25edfd5ad4e705d,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1446,pipe,44469.233093619056,2.5,-0.1,turbulent,8f357463586bdcb9403b54609a2db231fbd0db7f3c3d98b2bbbb1229fa60b9bd,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
3208,cavity,794.2105263157895,1.0,-0.2,laminar,2c58a751d987f5235ba8701ac429120768f4d8df32178def823a92c1f8a24c4c,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1692,channel,637.3684210526316,2.0,-0.15,laminar,ed97ce8f7cce8d48a64f1a3d0492a83bd843083b4190546d096f12bb8f7c4790,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1794,channel,951.0526315789473,2.0,-0.25,laminar,12beedb1c95a3603b6f697ade99dc75dfd87314111a86ed92483bd8a128b0163,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3255,cavity,951.0526315789473,1.0,-0.05,laminar,d8c6ae16b7eaf28272bab9e88f049cc48c7bddbfed7b902dcf47fdb27210944e,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
3923,cavity,4794.714065698457,2.5,-0.2,turbulent,4971066570c0514eefde4ddea9b655240bd6c9e623494e704787c1a324466efa,0.0,0.0,0.0,"{'mean': -0.029256356969529614, 'std': 0.9833217427687496, 'min': -3.6484128252147836, 'max': 3.1788536793675353, 'skewness': -0.04588912403417841, 'kurtosis': 0.09801182439059009}",3,1,"[0, 2]",2,"(32, 32)",True
1080,pipe,8616.175489020434,1.0,-0.05,turbulent,6a5daf00cf5d5e00350a1c2f417d04a1b934b6fe7d5e0f60b918bf7923bfa0d4,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
3662,cavity,2464.285714285714,1.5,-0.15,transition,8d8fa67b0889aa7501e39dde3c1bb23cf1c0da2417333547f02b09622809920a,0.0,0.0,0.0,"{'mean': 0.6451612903225806, 'std': 0.31691168593614655, 'min': 0.0, 'max': 0.9989594172736732, 'skewness': -0.6304339420761846, 'kurtosis': -0.882180438157667}",3,1,"[0, 1]",2,"(32, 32)",True
