exp_19 Phase 8 n=24 workers=8 start 20260903_155724
  ~23200000 trees, 243982 survivors [18444s]
  ~23300000 trees, 245216 survivors [18472s]
  ~23400000 trees, 246106 survivors [18500s]
  ~23500000 trees, 246926 survivors [18528s]
  ~23600000 trees, 247848 survivors [18556s]
  ~23700000 trees, 248623 survivors [18585s]
  ~23800000 trees, 249838 survivors [18614s]
  ~23900000 trees, 250399 survivors [18642s]
  ~24000000 trees, 251384 survivors [18672s]
  ~24100000 trees, 252806 survivors [18702s]
  ~24200000 trees, 253375 survivors [18730s]
  ~24300000 trees, 254232 survivors [18759s]
  ~24400000 trees, 254808 survivors [18789s]
  ~24500000 trees, 255290 survivors [18821s]
  ~24600000 trees, 256066 survivors [18850s]
  ~24700000 trees, 257145 survivors [18881s]
  ~24800000 trees, 257817 survivors [18910s]
  ~24900000 trees, 259266 survivors [18940s]
  ~25000000 trees, 260587 survivors [18972s]
  ~25100000 trees, 261935 survivors [19002s]
  ~25200000 trees, 262886 survivors [19031s]
  ~25300000 trees, 263763 survivors [19059s]
  ~25400000 trees, 264550 survivors [19089s]
  ~25500000 trees, 265557 survivors [19118s]
  ~25600000 trees, 266690 survivors [19148s]
  ~25700000 trees, 267875 survivors [19176s]
  ~25800000 trees, 268692 survivors [19203s]
  ~25900000 trees, 269464 survivors [19232s]
  ~26000000 trees, 270739 survivors [19262s]
  ~26100000 trees, 271986 survivors [19291s]
  ~26200000 trees, 272740 survivors [19318s]
  ~26300000 trees, 273092 survivors [19348s]
  ~26400000 trees, 273610 survivors [19375s]
  ~26500000 trees, 274219 survivors [19404s]
  ~26600000 trees, 274799 survivors [19436s]
  ~26700000 trees, 275458 survivors [19464s]
  ~26800000 trees, 276132 survivors [19493s]
  ~26900000 trees, 276683 survivors [19523s]
  ~27000000 trees, 277351 survivors [19552s]
  ~27100000 trees, 277985 survivors [19579s]
  ~27200000 trees, 278701 survivors [19609s]
  ~27300000 trees, 279379 survivors [19638s]
  ~27400000 trees, 280087 survivors [19667s]
  ~27500000 trees, 280694 survivors [19698s]
  ~27600000 trees, 281608 survivors [19726s]
  ~27700000 trees, 282878 survivors [19752s]
  ~27800000 trees, 284069 survivors [19780s]
  ~27900000 trees, 284820 survivors [19808s]
  ~28000000 trees, 285929 survivors [19835s]
  ~28100000 trees, 286745 survivors [19864s]
  ~28200000 trees, 287885 survivors [19892s]
  ~28300000 trees, 288868 survivors [19919s]
  ~28400000 trees, 289833 survivors [19948s]
  ~28500000 trees, 290904 survivors [19976s]
  ~28600000 trees, 292288 survivors [20003s]
  ~28700000 trees, 293363 survivors [20032s]
  ~28800000 trees, 294553 survivors [20063s]
  ~28900000 trees, 295685 survivors [20093s]
  ~29000000 trees, 296571 survivors [20122s]
  ~29100000 trees, 297520 survivors [20153s]
  ~29200000 trees, 298639 survivors [20182s]
  ~29300000 trees, 299650 survivors [20211s]
  ~29400000 trees, 300497 survivors [20242s]
  ~29500000 trees, 301377 survivors [20270s]
  ~29600000 trees, 302257 survivors [20298s]
  ~29700000 trees, 303414 survivors [20328s]
  ~29800000 trees, 304319 survivors [20360s]
  ~29900000 trees, 305235 survivors [20391s]
  ~30000000 trees, 306025 survivors [20419s]
  ~30100000 trees, 306941 survivors [20449s]
  ~30200000 trees, 307554 survivors [20478s]
  ~30300000 trees, 308400 survivors [20507s]
  ~30400000 trees, 309324 survivors [20538s]
  ~30500000 trees, 309659 survivors [20567s]
  ~30600000 trees, 310044 survivors [20596s]
  ~30700000 trees, 310635 survivors [20623s]
  ~30800000 trees, 311205 survivors [20653s]
  ~30900000 trees, 311543 survivors [20680s]
  ~31000000 trees, 311962 survivors [20707s]
  ~31100000 trees, 313062 survivors [20736s]
  ~31200000 trees, 313797 survivors [20769s]
  ~31300000 trees, 314817 survivors [24959s]
  ~31400000 trees, 315913 survivors [30713s]
  ~31500000 trees, 316987 survivors [32056s]
  ~31600000 trees, 317994 survivors [37329s]
  ~31700000 trees, 319201 survivors [39382s]
  ~31800000 trees, 320148 survivors [45812s]
  ~31900000 trees, 320781 survivors [50578s]
  ~32000000 trees, 321212 survivors [53088s]
  ~32100000 trees, 321685 survivors [57678s]
  ~32200000 trees, 322336 survivors [59548s]
  ~32300000 trees, 323087 survivors [60052s]
  ~32400000 trees, 324349 survivors [60316s]
  ~32500000 trees, 325317 survivors [61188s]
  ~32600000 trees, 326143 survivors [61477s]
  ~32700000 trees, 327174 survivors [61635s]
  ~32800000 trees, 328146 survivors [61750s]
  ~32900000 trees, 328861 survivors [62266s]
  ~33000000 trees, 329615 survivors [62293s]
  ~33100000 trees, 330513 survivors [62320s]
  ~33200000 trees, 331166 survivors [62347s]
  ~33300000 trees, 331935 survivors [62377s]
  ~33400000 trees, 333205 survivors [62404s]
  ~33500000 trees, 334331 survivors [62428s]
  ~33600000 trees, 335814 survivors [62452s]
  ~33700000 trees, 337017 survivors [62476s]
  ~33800000 trees, 338140 survivors [62503s]
  ~33900000 trees, 338791 survivors [62527s]
  ~34000000 trees, 339449 survivors [62551s]
  ~34100000 trees, 340293 survivors [62575s]
  ~34200000 trees, 341370 survivors [62602s]
  ~34300000 trees, 342602 survivors [62627s]
  ~34400000 trees, 343099 survivors [62651s]
  ~34500000 trees, 343791 survivors [62676s]
  ~34600000 trees, 344141 survivors [62703s]
  ~34700000 trees, 344730 survivors [62728s]
  ~34800000 trees, 345444 survivors [62752s]
  ~34900000 trees, 346350 survivors [62776s]
  ~35000000 trees, 347257 survivors [62804s]
  ~35100000 trees, 347925 survivors [62829s]
  ~35200000 trees, 348746 survivors [62856s]
  ~35300000 trees, 349655 survivors [62882s]
  ~35400000 trees, 350449 survivors [62909s]
  ~35500000 trees, 351145 survivors [62937s]
  ~35600000 trees, 351932 survivors [62962s]
  ~35700000 trees, 352317 survivors [62987s]
  ~35800000 trees, 352889 survivors [63012s]
  ~35900000 trees, 354015 survivors [63041s]
  ~36000000 trees, 355219 survivors [63066s]
  ~36100000 trees, 356369 survivors [63092s]
  ~36200000 trees, 357508 survivors [63117s]
  ~36300000 trees, 358332 survivors [63144s]
  ~36400000 trees, 359235 survivors [63168s]
  ~36500000 trees, 360176 survivors [63193s]
  ~36600000 trees, 361242 survivors [63219s]
  ~36700000 trees, 362322 survivors [63246s]
